substituted,parent,source,mapping,Natoms,cvp-ionic Vi,no scaled Vi,vp Vi,cvp-atomic Vi,cvp-ionic Vf,no scaled Vf,vp Vf,cvp-atomic Vf,first cvp-ionic CPU time (s),first no scaled CPU time (s),first vp CPU time (s),first cvp-atomic CPU time (s),second cvp-ionic CPU time (s),second no scaled CPU time (s),second vp CPU time (s),second cvp-atomic CPU time (s),total cvp-ionic CPU time (s),total no scaled CPU time (s),total vp CPU time (s),total cvp-atomic CPU time (s),E cvp-ionic (eV/atom),E no scaled (eV/atom),E vp (eV/atom),E cvp-atomic (eV/atom)
Ba3Y2SiO8,LiTl3(MoO4)2,icsd-84291,"{'Li+': 'Si4+', 'Tl+': 'Ba2+', 'Mo6+': 'Y3+'}",28,453.8923983,493.8085764,1282.023083,592.4122328,561.5647726,561.7303369,563.3839238,562.2206897,1699.839,1612.189,8294.902,1885.968,371.27,332.428,425.864,334.078,2071.109,1944.617,8720.766,2220.046,-7.417408258,-7.417722216,-7.417711954,-7.417799783
Ca2YPO6,Na2GeTeO6,icsd-88789,"{'Ge4+': 'P5+', 'Na+': 'Ca2+', 'Te6+': 'Y3+'}",20,262.941043,239.1061503,441.9385344,257.4657007,261.1116619,260.9736446,260.8830683,260.9032431,918.996,844.642,1911.091,842.123,285.537,264,267.601,239.876,1204.533,1108.642,2178.692,1081.999,-7.374910115,-7.374958118,-7.374979056,-7.375052344
BaLi2(SiO3)2,Na2Zn(SiO3)2,icsd-83427,"{'Na+': 'Li+', 'Zn2+': 'Ba2+'}",22,331.726372,283.9761072,907.9151874,337.182103,355.9941631,351.0599446,364.2599348,357.5266851,780.335,626.774,1435.019,717.7,89.904,134.366,69.229,86.426,870.239,761.14,1504.248,804.126,-6.793233784,-6.792709422,-6.788034644,-6.792802689
K3PO4,Na3PO4,mp-4223,{'Na': 'K'},64,1168.981389,823.5934766,1967.946802,1178.397808,1121.578419,1120.197525,1129.138157,1124.475018,575.579,461.621,1606.416,614.854,206.302,341.894,274.819,222.143,781.881,803.515,1881.235,836.997,-5.7525906,-5.752581327,-5.752392103,-5.752723295
Na3PS4,Na3PO4,mp-4223,{'O': 'S'},64,1307.515684,823.5934766,1432.550627,1218.899774,1491.460256,1492.122051,1504.375094,1499.190837,959.011,977.492,1156.678,984.718,247.945,237.002,238.431,324.519,1206.956,1214.494,1395.109,1309.237,-4.105036986,-4.10487648,-4.103397573,-4.104311329
Na5P3Se10,Na5P3O10,mp-3928,{'O2-': 'Se2-'},36,907.7889801,488.5958344,1170.558012,852.4410148,1047.562367,1033.366536,1049.852432,1044.736554,3243.425,2445.433,4334.313,4627.292,735.801,699.365,702.678,680.802,3979.226,3144.798,5036.991,5308.094,-3.760112054,-3.762031935,-3.760644251,-3.762290734
KMnPO4,NaFePO4,mp-19226,"{'Fe': 'Mn', 'Na': 'K'}",28,417.7365531,323.3446919,542.7165328,404.6490222,368.8592708,367.0448938,367.40686,368.6137634,294.505,242.941,443.406,350.56,68.791,93.476,86.61,66.685,363.296,336.417,530.016,417.245,-6.957896498,-6.958153253,-6.957907611,-6.958556961
NaFePS4,NaFePO4,mp-19226,{'O': 'S'},28,494.1236855,323.3446919,600.2371481,458.2235744,568.073589,499.4662464,558.5677472,506.6557931,734.654,788.619,610.948,1254.763,137.84,903.3,423.191,233.482,872.494,1691.919,1034.139,1488.245,-4.893629803,-4.828715158,-4.896140429,-4.832326856
BaMgSiO4,NaGaSiO4,icsd-411328,"{'Ga3+': 'Ba2+', 'Na+': 'Mg2+'}",42,713.8644333,541.6228534,1744.550394,734.2437742,689.5394451,679.6559286,678.0699184,659.4872927,7010.418,5681.468,19315.977,6159.645,550.993,1364.031,480.012,508.715,7561.411,7045.499,19795.989,6668.36,-6.885635555,-6.88249139,-6.882925526,-6.874092894
BaMgAl4O8,NaLa(GaS2)4,icsd-634495,"{'La3+': 'Ba2+', 'Ga3+': 'Al3+', 'S2-': 'O2-', 'Na+': 'Mg2+'}",56,787.6090955,1254.313133,995.2344561,839.308672,742.0298748,737.5993455,741.1825772,741.6441855,4814.763,8746.613,6682.196,5076.647,1039.716,987.509,1044.547,979.351,5854.479,9734.122,7726.743,6055.998,-6.926993334,-6.927157158,-6.927425498,-6.926962591
